block_number,pair_address,token0,token1,creator_address,liquidity_eth,is_locked,has_mint_function,creator_funded_by_tornado,status,drop_percent
18000000,0x58feea6ecd25b8a8a742690e9b334efa71256105,0xa7c0402709db8c50078ba7d8c842b7ca3d97a746,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x2bff0803e1a8877367f369b62d98d984e3d6ef10,3.76,False,True,True,RUG,-83.19
18000001,0x4c3483925e379fbabbf7fee4292198b585813f65,0x419335a116afcd9fb4cb1365a3cfae5ad8cc1e0f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x911becef91ad8b486bddc08a559c6a964d11f935,4.42,False,False,True,RUG,-91.69
18000002,0x7681b645db704e1c766c54960036bcec7326293d,0xf9493eaa3eb357a77f621c0dd77a0faed61c2e35,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x31718aaee9d02a13803a8fa7fe68f3fc7dfe7ade,3.09,False,False,True,RUG,-96.89
18000003,0x2381615486a9278e97d086c31b47b4bea34a16f6,0x5a0e0c1c38b74aa538bcec846d88f5ace6a64a79,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x40ad2e459bf6db0528231ae62ddc6dd86cf83213,58.74,True,False,False,SAFE,25.59
18000004,0x5475515d0757eaaf03993060f1df3ce86f26896b,0xc793c8a99d484c24f2ce234c5d1dbceaeb2a666f,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x6b9605c607b9d8c2420b5e47e28be7d6a46089cd,4.55,False,True,True,RUG,-96.92
18000005,0x468d42f1e0ea1c7c411eb6bca6b73fe925a3ea78,0x89a08432840b252495913b2c631c662bb1b05a7b,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x6c063622637e663f13e4973cf7e8d55a9c1c4b94,0.71,False,False,True,RUG,-80.87
18000006,0x4b42832429df917cd5e95130094b2e727b580d3a,0x223e3ae610083f8def76b558954879465a8a8d29,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x762c12ecd768c328d490648e4529d8db5c994135,2.0,True,True,False,RUG,-91.93
18000007,0x415265da09d8f56ce82bb1ff3d040cff3856c3ae,0x366c99dd5600151aaa45490f48dc759d4fed3ee4,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xcfe6c060f14840f095c2c35b7978382725f4ec8d,4.65,False,True,True,RUG,-84.99
18000008,0x0db4c8d5dcd36a1208de4eaec6383c0859d0009b,0xacbd28f03d1176c184e4c7e82f60a655cdcd2884,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x29bea0e31581a7df5b8ff13d79244f93e676f475,2.07,True,True,True,RUG,-90.08
18000009,0xee00e5c21152417d76a90803a63de0719e74aea5,0xd01fcf5485ef565c94a3920bfb82d8a61471e43d,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x1a4736660546ad1e858aae8098ede861759cb2f7,1.16,False,True,True,RUG,-94.93
18000010,0x2702610204fc4a5e600115d2dc64aefb141ac764,0x6cb6a2dce9a16b33d68b210eabfac0cd2fca5309,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x59f45097e554be8ee70788b70c9f4c6d3b6e8c23,4.43,False,True,False,RUG,-82.98
18000011,0x41e78899825fcdb15742db09c3fd486756dc357f,0x23130430f68b3e9f153a36290b48128a838be5a5,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc4268b60658300cc9dc0eee53d2a592f0b4899e2,19.7,True,False,False,SAFE,31.63
18000012,0xda143c761a01cd2b0d0e1fe188bdb6b39aee0308,0x1268b732af48ca02111ce21cf9db8c3aa643df14,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0x8d7890956cca11488279cc059fb5fb6fbb008338,0.39,False,False,True,RUG,-95.9
18000013,0x311ab4cf45ee599c1a040dbc97fcb7e0b629057f,0xf98edf73f1b473050af0e6d82b08e7f204bb39b9,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe3d4f935016c7fbaae1d135e83c3c2efe1a413fe,1.51,True,True,True,RUG,-92.56
18000014,0xd3a717bad7821734fb2deb4b475decfff6ac5314,0xf192b6999e901e92691e9ad9078ca483be95b40a,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xc8e687722186135ed56cc8809ac8a82a8f0ec2f4,71.18,True,False,True,SAFE,-14.62
18000015,0x7a703d106bc63167a9b753fd258817f0e11070c8,0xc7729bcac3ae01cb2b4443ba90d4ce20015052a8,0xC02aaA39b223FE8D0A0e5C4F27eAD9083C756Cc2,0xe2814188b8d6682037adaea13355a1f0b4b8afb8,0.47,False,False,False,RUG,-86.53
